"folioEntrada","cliente","vendedor","fecha","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"A003974","5011","7","20190927","P",3,0,2400,1200,180,1380,50,1,1
"A003975","5088","4","20140328","P",1,0,900,414,0,486,46,1,1
"A003976","5103","8","20151012","P",8,0,2400,1320,162,1242,55,2,2
"A003977","5641","1","20210919","P",1,0,500,260,36,276,52,1,1
"A003978","5307","4","20190804","P",9,0,2960,1628,199.8,1531.8,55,5,5
"A003979","5603","4","20210815","P",5,0,800,440,54,414,55,1,1
"A003980","5061","8","20210717","P",1,0,900,495,60.75,465.75,55,1,1
"A003981","5031","8","20201026","P",1,0,700,385,47.25,362.25,55,1,1
"A003982","5734","5","20150221","P",2,0,1300,598,105.3,807.3,46,2,2
"A003983","5050","7","20220812","P",4,0,4000,2080,288,2208,52,4,4
"A003984","5262","1","20150125","P",6,0,660,349.8,46.53,356.73,53,4,4
"A003985","5237","1","20160827","P",1,0,2000,1060,141,1081,53,1,1
"A003986","5169","1","20200703","P",4,0,2620,1362.4,188.64,1446.24,52,4,4
"A003987","5234","1","20190917","P",5,0,2000,1140,129,989,57,1,1
"A003988","5537","4","20210408","P",3,0,1330,665,99.75,764.75,50,3,3
"A003989","5673","6","20160724","P",1,0,700,350,52.5,402.5,50,1,1
"A003990","5173","8","20170622","P",1,0,700,364,50.4,386.4,52,1,1
"A003991","5174","8","20210722","P",1,0,600,312,43.2,331.2,52,1,1
"A003992","5245","7","20190114","P",1,0,450,256.5,29.03,222.53,57,1,1
"A003993","5011","7","20190820","P",3,0,1500,750,112.5,862.5,50,1,1
"A003994","5013","7","20181020","P",10,0,6500,3250,487.5,3737.5,50,1,1
"A003995","5542","5","20210522","P",7,0,840,420,63,483,50,1,1
"A003996","5453","1","20160709","P",5,0,6300,3276,453.6,3477.6,52,3,3
"A003997","5453","1","20150112","P",5,0,6300,3276,453.6,3477.6,52,3,3
"A003998","5223","1","20211216","P",9,0,11050,5746,795.6,6099.6,52,8,8
"A003999","5130","1","20220928","P",8,0,8600,4472,619.2,4747.2,52,7,7
"A004000","5130","1","20150506","P",8,0,13200,6864,950.4,7286.4,52,5,5
"A004001","5015","1","20160621","P",1,0,500,260,36,276,52,1,1
"A004002","5001","7","20210517","P",11,0,10150,5176.5,0,4973.5,51,8,8
"A004003","5453","1","20210102","P",5,0,6600,3432,475.2,3643.2,52,4,4
"A004004","5210","8","20210627","P",6,0,3200,1568,0,1632,49,6,6
"A004005","5082","2","20140308","P",1,0,900,441,0,459,49,1,1
"A004006","5040","7","20200113","P",10,0,7530,3313.2,0,4216.8,44,2,2
"A004007","5827","2","20190517","P",14,0,1770,867.3,0,902.7,49,4,4
"A004008","5064","8","20150606","P",3,0,1080,529.2,0,550.8,49,1,1
"A004009","0093","3","20210315","P",15,0,6000,2940,0,3060,49,1,1
"A004010","5099","SIN_VEND","20221106","P",8,0,2200,1100,165,1265,50,4,4
"A004011","5099","7","20170520","P",7,0,1750,875,131.25,1006.25,50,3,3
"A004012","5099","7","20150308","P",1,0,450,247.5,30.38,232.88,55,1,1
"A004013","0093","3","20221111","P",15,0,5700,2793,0,2907,49,1,1
"A004014","5780","1","20160801","P",1,0,1200,564,0,636,47,1,1
"A004015","5187","7","20140303","P",1,0,1300,572,0,728,44,1,1
"A004016","5022","8","20140520","P",3,0,3100,1519,0,1581,49,2,2
"A004017","5001","7","20150409","P",3,0,3700,1887,0,1813,51,3,3
"A004018","0002","3","20141019","P",5,0,6000,3420,0,2580,57,1,1
"A004019","5686","6","20140903","P",1,0,1200,600,0,600,50,1,1
"A004020","5081","2","20151217","P",1,0,1000,570,64.5,494.5,57,1,1
"A004021","5099","7","20140923","P",16,0,1150,575,86.25,661.25,50,3,3
"A004022","5159","7","20221027","P",9,0,4320,2289.6,304.56,2334.96,53,4,4
"A004023","5014","7","20180404","P",3,0,1350,675,101.25,776.25,50,1,1
"A004024","5421","6","20170210","P",4,0,4530,2265,339.75,2604.75,50,4,4
"A004025","5062","7","20210702","P",2,0,650,357.5,43.88,336.38,55,2,2
"A004026","5827","2","20201105","P",14,0,1770,867.3,0,902.7,49,4,4
"A004027","0002","3","20211109","P",5,0,6000,3420,387,2967,57,1,1
"A004028","5686","6","20171206","P",1,0,1200,600,90,690,50,1,1
"A004029","5226","7","20170714","P",2,0,280,123.2,0,156.8,44,1,1
"A004030","5392","2","20140926","P",1,0,800,440,54,414,55,1,1
"A004031","5751","9","20160918","P",1,0,2200,1100,165,1265,50,1,1
"A004032","5751","9","20160516","P",1,0,2200,1100,165,1265,50,1,1
"A004033","5326","4","20221222","P",1,0,300,150,22.5,172.5,50,1,1
"A004034","5392","2","20180204","P",1,0,800,440,54,414,55,1,1
"A004035","5650","2","20180312","P",30,0,13500,7425,911.25,6986.25,55,1,1
"A004036","5213","8","20220602","P",2,0,1600,880,108,828,55,1,1
"A004037","0011","0","20180604","P",1,0,1000,450,82.5,632.5,45,1,1
"A004038","5734","5","20161225","P",3,0,480,220.8,38.88,298.08,46,1,1
"A004039","5082","2","20150106","P",3,0,400,208,28.8,220.8,52,2,2
"A004040","5050","7","20201119","P",3,0,400,208,28.8,220.8,52,2,2
"A004041","0032","0","20220417","P",2,0,300,135,24.75,189.75,45,2,2
"A004042","0032","4","20180618","P",2,0,600,270,49.5,379.5,45,2,2
"A004043","0007","3","20190222","P",2,0,2700,1350,202.5,1552.5,50,2,2
"A004044","5013","7","20190802","P",2,0,1000,500,75,575,50,1,1
"A004045","5001","7","20150909","P",12,0,15310,7808.1,0,7501.9,51,8,8
"A004047","0105","3","20170604","P",1,0,700,315,57.75,442.75,45,1,1
"A004048","5583","6","20170627","P",2,0,760,334.4,0,425.6,44,1,1
"A004049","5082","2","20141031","P",7,0,4700,2303,0,2397,49,5,5
"A004050","5018","7","20140913","P",11,0,2920,1430.8,0,1489.2,49,6,6
"A004051","0082","3","20171207","P",4,0,240,120,18,138,50,1,1
"A004052","0089","3","20150417","P",1,0,1400,630,115.5,885.5,45,1,1
"A004074","0010","3","20180929","P",5,0,1650,808.5,0,841.5,49,1,1
"A004075","0032","4","20160802","P",3,0,1340,603,110.56,847.56,45,3,3
"A004078","0007","3","20150520","P",1,0,1500,750,112.5,862.5,50,1,1
"A004079","0112","0","20171112","P",2,0,900,450,67.5,517.5,50,2,2
"A004080","5018","7","20190411","P",6,0,2050,1127.5,138.38,1060.88,55,2,2
"A004081","5669","6","20151001","P",2,0,320,153.6,24.96,191.36,48,2,2
"A004128","0059","3","20210316","P",1,0,700,0,0,700,0,1,1
"A004129","5214","4","20160917","P",1,0,2300,0,0,2300,0,1,1
"A004130","5214","4","20210422","P",1,0,2300,1127,0,1173,49,1,1
"A004131","0059","3","20200606","P",1,0,700,308,0,392,44,1,1
"A004132","5088","4","20190529","P",3,0,1050,483,0,567,46,2,2
"A004133","5063","8","20190418","P",1,0,80,36.8,0,43.2,46,1,1
"A004134","5061","8","20190303","P",1,0,380,186.2,0,193.8,49,1,1
"A004135","5002","8","20181206","P",1,0,1800,828,0,972,46,1,1
"A004136","5210","8","20160403","P",7,0,2520,1234.8,0,1285.2,49,5,5
"A004137","5064","8","20170712","P",1,0,800,392,0,408,49,1,1
"A004138","5074","8","20220610","P",1,0,220,107.8,0,112.2,49,1,1
"A004139","5693","8","20200519","P",10,0,850,391,0,459,46,2,2
"A004140","5180","8","20201201","P",17,0,7310,3362.6,0,3947.4,46,3,3
"A004141","5082","2","20150811","P",3,0,2600,1274,0,1326,49,3,3
"A004142","5124","1","20171203","P",46,0,14700,7497,0,7203,51,4,4
"A004143","0011","3","20210410","P",2,0,570,279.3,0,290.7,49,2,2
"A004144","0107","1","20170426","P",1,0,1200,576,93.6,717.6,48,1,1
"A004145","5107","1","20180509","P",1,0,1200,576,93.6,717.6,48,1,1
"A004146","5024","9","20140330","P",1,0,350,168,27.3,209.3,48,1,1
"A004147","5017","9","20180108","P",1,0,130,58.5,10.73,82.23,45,1,1
"A004148","5851","5","20170305","P",6,0,900,432,70.2,538.2,48,2,2
"A004149","5669","6","20221207","P",10,0,3000,1440,234,1794,48,2,2
"A004150","5107","1","20140707","P",4,0,800,384,62.4,478.4,48,2,2
"A004151","5031","8","20190227","P",4,0,2800,1540,189,1449,55,1,1
"A004152","5024","9","20161124","P",1,0,350,168,27.3,209.3,48,1,1
"A004153","5017","9","20161227","P",1,0,130,58.5,10.73,82.23,45,1,1
"A004154","5851","5","20180922","P",6,0,900,432,70.2,538.2,48,2,2
"A004155","5669","6","20180208","P",10,0,3000,1440,234,1794,48,2,2
"A004156","5107","1","20190208","P",4,0,800,384,62.4,478.4,48,2,2
"A004157","5031","8","20220709","P",4,0,2800,1540,189,1449,55,1,1
"A004158","5107","1","20150810","P",1,0,1200,576,93.6,717.6,48,1,1
"A004159","5409","8","20201211","P",1,0,700,385,47.25,362.25,55,1,1
"A004160","5853","2","20150924","P",12,0,4700,2585,317.25,2432.25,55,3,3
"A004161","5223","1","20200125","P",10,0,14350,7462,1033.2,7921.2,52,10,10
"A004162","5028","4","20170303","P",10,0,3500,1925,236.25,1811.25,55,1,1
"A004163","5669","6","20140115","P",2,0,320,153.6,24.96,191.36,48,2,2
"A004164","5091","1","20181119","P",4,0,880,440,66,506,50,1,1
"A004165","5134","1","20150323","P",3,0,3950,1975,296.25,2271.25,50,3,3
"A004166","5641","1","20190901","P",2,0,1300,676,93.6,717.6,52,2,2
"A004167","0007","3","20140306","P",2,0,4300,2150,322.5,2472.5,50,2,2
"A004168","5649","5","20220826","P",30,0,6600,3300,495,3795,50,2,2
"A004169","5230","8","20161015","P",3,0,4650,2557.5,313.88,2406.38,55,2,2
"A004170","0034","3","20170101","P",1,0,450,225,33.75,258.75,50,1,1
"A004171","0032","4","20181005","P",2,0,950,427.5,78.38,600.88,45,2,2
"A004172","0043","4","20210210","P",2,0,4000,1920,312,2392,48,1,1
"A004173","0007","3","20210501","P",1,0,600,300,45,345,50,1,1
"A004174","0007","3","20210909","P",5,0,4000,2000,300,2300,50,5,5
"A004175","0083","3","20170130","P",1,0,550,247.5,45.38,347.88,45,1,1
"A004176","0089","3","20190725","P",1,0,1400,630,115.5,885.5,45,1,1
"A004177","5001","7","20190425","P",14,0,6575,3353.25,0,3221.75,51,9,9
"A004178","5325","1","20200202","P",6,0,1020,448.8,0,571.2,44,1,1
"A004179","5780","1","20210802","P",2,0,750,352.5,0,397.5,47,2,2
"A004180","5088","4","20180805","P",3,0,1400,644,0,756,46,2,2
"A004181","5364","8","20181014","P",9,0,2800,1372,0,1428,49,2,2
"A004182","5074","8","20191231","P",4,0,1090,534.1,0,555.9,49,4,4
"A004183","5204","8","20140225","P",2,0,2100,1029,0,1071,49,2,2
"A004184","5661","1","20190507","P",5,0,3100,1426,0,1674,46,3,3
"A004185","0105","3","20161206","P",1,0,200,90,16.5,126.5,45,1,1
"A004187","0105","3","20191116","P",1,0,700,315,57.75,442.75,45,1,1
"A004191","0105","3","20221030","P",1,0,700,315,57.75,442.75,45,1,1
"A004192","0105","3","20221003","P",1,0,700,315,57.75,442.75,45,1,1
"A004193","0002","3","20191103","P",2,0,4300,2193,0,2107,51,2,2
"A004194","5780","1","20200301","P",3,0,1200,564,0,636,47,1,1
"A004195","0105","3","20210826","P",1,0,700,315,57.75,442.75,45,1,1
"A004205","5024","9","20221006","P",1,0,1100,528,85.8,657.8,48,1,1
"A004206","5024","9","20210619","P",5,0,2100,1008,163.8,1255.8,48,5,5
"A004207","5187","7","20220510","P",2,0,1200,528,0,672,44,2,2
"A004208","5221","7","20140824","P",7,0,2980,1251.6,0,1728.4,42,3,3
"A004209","5214","4","20180406","P",2,0,1650,808.5,0,841.5,49,2,2
"A004212","0112","0","20150217","P",1,0,1500,750,112.5,862.5,50,1,1
"A004225","0083","3","20180130","P",1,0,300,135,24.75,189.75,45,1,1
"A004227","0107","4","20180617","P",1,0,260,143,17.55,134.55,55,1,1
"A004228","0083","3","20200727","P",4,0,320,144,26.4,202.4,45,1,1
"A004229","5583","6","20171222","P",3,0,890,391.6,0,498.4,44,3,3
"A004230","5419","4","20170418","P",1,0,1200,600,90,690,50,1,1
"A004231","5112","1","20191127","P",2,0,1700,935,114.75,879.75,55,2,2
"A004232","0007","3","20150819","P",5,0,3350,1675,251.25,1926.25,50,4,4
"A004233","0106","3","20190204","P",9,0,5140,2313,424.07,3251.07,45,9,9
"A004238","5291","4","20220609","P",1,0,800,456,51.6,395.6,57,1,1
"A004239","5226","7","20211017","P",5,0,2520,1108.8,0,1411.2,44,5,5
"A004240","5226","7","20140117","P",6,0,1800,792,0,1008,44,2,2
"A004241","0010","3","20150914","P",15,0,1275,561,0,714,44,3,3
"A004242","5029","7","20141111","P",1,0,1600,880,108,828,55,1,1
"A004243","5210","8","20210310","P",1,0,1400,770,94.5,724.5,55,1,1
"A004244","5097","1","20200918","P",1,0,2400,1200,180,1380,50,1,1
"A004245","5020","8","20160122","P",3,0,4600,2530,310.5,2380.5,55,3,3
"A004246","5777","7","20170219","P",5,0,1100,528,85.8,657.8,48,2,3
"A004247","5039","7","20170401","P",1,0,280,134.4,21.84,167.44,48,1,1
"A004248","5100","1","20190718","P",2,0,1450,696,113.1,867.1,48,2,2
"A004249","5638","1","20150822","P",3,0,1650,940.5,106.43,815.93,57,2,3
"A004250","5050","7","20140807","P",1,0,1600,832,115.2,883.2,52,1,1
"A004251","5421","6","20150130","P",4,0,2800,1400,210,1610,50,3,3
"A004252","5479","6","20161207","P",4,0,1120,560,84,644,50,3,3
"A004253","5134","1","20160707","P",2,0,1800,900,135,1035,50,1,1
"A004254","5465","6","20201229","P",4,0,2800,1400,210,1610,50,2,2
"A004255","5245","7","20150422","P",6,0,9700,5529,625.65,4796.65,57,5,5
"A004256","5307","4","20140109","P",3,0,1500,825,101.25,776.25,55,3,3
"A004257","5245","7","20190125","P",5,0,526,299.82,33.93,260.11,57,3,3
"A004258","5253","1","20220409","P",2,0,900,450,67.5,517.5,50,1,1
"A004259","5065","8","20221104","P",10,0,300,165,20.25,155.25,55,2,2
"A004260","5201","2","20150930","P",15,0,26700,15219,1722.15,13203.15,57,5,5
"A004261","5603","4","20140429","P",9,0,5750,3162.5,388.13,2975.63,55,3,3
"A004262","5378","4","20181125","P",1,0,550,275,41.25,316.25,50,1,1
"A004263","5187","7","20160828","P",1,0,550,275,41.25,316.25,50,1,1
"A004264","5054","2","20201004","P",2,0,2000,1100,135,1035,55,1,1
"A004265","5013","7","20181128","P",6,0,1250,625,93.75,718.75,50,3,3
"A004266","5011","7","20141214","P",4,0,3500,1750,262.5,2012.5,50,2,2
"A004267","5056","8","20200811","P",12,0,12120,6666,818.1,6272.1,55,9,9
"A004268","5020","8","20220225","P",14,0,7950,4372.5,536.63,4114.13,55,4,4
"A004269","5031","8","20200217","P",2,0,620,341,41.85,320.85,55,1,1
"A004270","5272","8","20210517","P",1,0,800,416,57.6,441.6,52,1,1
"A004271","5286","1","20190301","P",6,0,2100,1155,141.76,1086.76,55,2,2
"A004272","5241","7","20201220","P",1,0,220,105.6,17.16,131.56,48,1,1
"A004273","5673","6","20201101","P",2,0,440,220,33,253,50,1,1
"A004274","5720","6","20190704","P",20,0,2800,1456,201.6,1545.6,52,4,4
"A004275","5075","8","20150313","P",24,0,1930,1061.5,130.28,998.78,55,5,5
"A004276","5099","7","20140124","P",8,0,7050,3525,528.75,4053.75,50,5,5
"A004277","5099","7","20221102","P",3,0,3000,1650,202.5,1552.5,55,1,1
"A004278","5057","2","20200319","P",5,0,800,440,54,414,55,1,1
"A004279","5219","1","20150110","P",3,0,1650,825,123.75,948.75,50,2,2
"A004280","5174","8","20171113","P",3,0,2720,1414.4,195.84,1501.44,52,3,3
"A004281","5818","1","20140530","P",1,0,550,275,41.25,316.25,50,1,1
"A004287","5669","6","20160408","P",2,0,250,120,19.5,149.5,48,2,2
"A004288","5014","7","20201224","P",2,0,4200,2100,315,2415,50,1,1
"A004289","5062","7","20210208","P",5,0,11000,6050,742.5,5692.5,55,4,4
"A004290","5421","6","20201006","P",10,0,7650,3825,573.75,4398.75,50,5,5
"A004291","5040","7","20211125","P",1,0,600,300,45,345,50,1,1
"A004292","5183","2","20140624","P",7,0,2850,1567.5,192.38,1474.88,55,3,3
"A004293","5046","7","20160820","P",4,0,3550,1881.5,250.28,1918.78,53,4,4
"A004294","5038","2","20211108","P",1,0,1200,660,81,621,55,1,1
"A004295","5034","8","20180409","P",1,0,250,137.5,16.88,129.38,55,1,1
"A004296","5031","8","20171031","P",3,0,2600,1430,175.5,1345.5,55,3,3
"A004297","5687","4","20151206","P",4,0,950,522.5,64.13,491.63,55,4,4
"A004298","5621","1","20200724","P",20,0,14000,8120,882,6762,58,2,2
"A004299","5036","2","20210414","P",22,0,23200,12760,1566,12006,55,4,4
"A004300","5053","2","20220123","P",8,0,2300,1265,155.26,1190.26,55,4,4
"A004302","5082","2","20190826","P",1,0,2400,1176,0,1224,49,1,1
"A004303","5555","4","20141105","P",10,0,3800,1672,0,2128,44,1,1
"A004304","5063","8","20220327","P",8,0,4800,2208,0,2592,46,1,1
"A004305","5210","8","20180130","P",2,0,1700,833,0,867,49,2,2
"A004306","5080","2","20200107","P",7,0,1780,818.8,0,961.2,46,3,3
"A004311","0105","3","20210831","P",2,0,900,405,74.26,569.26,45,2,2
"A004312","5213","8","20220121","P",1,0,1900,1045,128.25,983.25,55,1,1
"A004313","5176","8","20191116","P",1,0,200,110,13.5,103.5,55,1,1
"A004314","5440","9","20190219","P",1,0,2400,1200,180,1380,50,1,1
"A004315","5093","7","20200809","P",13,0,14030,7716.5,947.03,7260.53,55,4,4
"A004316","5093","7","20171231","P",11,0,2910,1600.5,196.43,1505.93,55,4,4
"A004317","5291","4","20190809","P",3,0,3420,1949.4,220.59,1691.19,57,3,3
"A004319","0008","3","20200831","P",3,0,1020,561,68.85,527.85,55,2,2
"A004320","0008","3","20150903","P",15,0,1400,770,94.51,724.51,55,2,2
"A004321","5234","1","20160319","P",1,0,1200,684,77.4,593.4,57,1,1
"A004322","5034","8","20140319","P",1,0,300,165,20.25,155.25,55,1,1
"A004323","5130","1","20190313","P",8,0,15200,8360,1026,7866,55,6,7
"A004324","5044","2","20180723","P",1,0,2200,1210,148.5,1138.5,55,1,1
"A004325","5132","1","20161103","P",4,0,3050,1677.5,205.88,1578.38,55,2,2
"A004326","5036","2","20140617","P",1,0,1100,605,74.25,569.25,55,1,1
"A004327","5013","7","20160920","P",6,0,5400,2700,405,3105,50,2,2
"A004328","5453","1","20150114","P",1,0,1000,550,67.5,517.5,55,1,1
"A004329","5223","1","20201111","P",1,0,1000,550,67.5,517.5,55,1,1
"A004330","5223","1","20160813","P",1,0,1200,660,81,621,55,1,1
"A004331","5223","1","20140917","P",5,0,4850,2667.5,327.38,2509.88,55,4,4
"A004332","5053","2","20200626","P",10,0,10100,5555,681.76,5226.76,55,9,10
"A004333","5603","4","20160128","P",1,0,3000,1650,202.5,1552.5,55,1,1
"A004334","5650","2","20160610","P",3,0,840,462,56.7,434.7,55,1,1
"A004335","5409","8","20140404","P",1,0,550,302.5,37.13,284.63,55,1,1
"A004336","5020","8","20220306","P",2,0,500,275,33.76,258.76,55,2,2
"A004337","5050","7","20140506","P",1,0,320,166.4,23.04,176.64,52,1,1
"A004338","5333","4","20220916","P",4,0,1400,700,105,805,50,3,3
"A004339","0007","3","20220825","P",2,0,1900,950,142.5,1092.5,50,2,2
"A004340","0007","3","20181115","P",2,0,950,475,71.25,546.25,50,2,2
"A004341","0025","3","20160525","P",1,0,2600,1300,195,1495,50,1,1
"A004343","0105","3","20181213","P",1,0,140,63,11.55,88.55,45,1,1
"A004344","5260","8","20200816","P",2,0,1600,800,120,920,50,2,2
"A004345","0116","3","20170730","P",2,0,1200,600,90,690,50,2,2
"A004349","0006","3","20191019","P",20,0,2600,1430,175.5,1345.5,55,1,1
"A004350","5176","8","20180804","P",2,0,3300,1815,222.75,1707.75,55,2,2
"A004351","5053","2","20200121","P",8,0,2900,1595,195.75,1500.75,55,3,3
"A004352","5777","7","20161125","P",13,0,865,415.2,67.47,517.27,48,4,4
"A004353","5248","1","20170622","P",1,0,300,132,0,168,44,1,1
"A004354","5029","7","20140917","P",2,0,3500,1715,0,1785,49,2,2
"A004355","5195","7","20200521","P",7,0,2110,1033.9,0,1076.1,49,4,4
"A004356","5119","7","20160510","P",1,0,300,147,0,153,49,1,1
"A004357","5760","8","20180718","P",2,0,560,296.8,39.48,302.68,53,2,2
"A004358","5481","8","20160202","P",12,0,4400,2288,316.8,2428.8,52,2,2
"A004359","5094","1","20200428","P",12,0,780,444.6,50.32,385.72,57,2,2
"A004360","5638","1","20150902","P",23,0,3000,1710,193.51,1483.51,57,4,4
"A004361","5040","7","20200227","P",4,0,2560,1280,192,1472,50,4,4
"A004362","5050","7","20180708","P",1,0,460,239.2,33.12,253.92,52,1,1
"A004363","5050","7","20160102","P",11,0,3300,1749,232.65,1783.65,53,2,2
"A004364","5050","7","20160502","P",2,0,1900,988,136.8,1048.8,52,2,2
"A004365","5050","7","20140608","P",1,0,2800,1456,201.6,1545.6,52,1,1
"A004366","5029","7","20170824","P",2,0,1400,686,0,714,49,1,1
"A004367","5638","1","20190215","P",2,0,130,74.1,8.38,64.28,57,2,2
"A004369","0007","3","20160116","P",2,0,680,340,51,391,50,2,2
"A004370","5861","6","20180301","P",25,0,8500,4250,637.5,4887.5,50,3,3
"A004371","5130","1","20180402","P",6,0,11300,6215,762.75,5847.75,55,3,3
"A004372","5135","1","20151022","P",2,0,1300,715,87.75,672.75,55,1,1
"A004373","5217","1","20160203","P",1,0,800,416,57.6,441.6,52,1,1
"A004374","5223","1","20201216","P",7,0,6800,3740,459,3519,55,5,5
"A004375","5223","1","20140901","P",8,0,880,484,59.41,455.41,55,2,2
"A004376","5018","7","20190425","P",5,0,2550,1249.5,0,1300.5,49,4,4
"A004377","5088","4","20140217","P",1,0,100,46,0,54,46,1,1
"A004378","0089","3","20221103","P",1,0,650,292.5,53.63,411.13,45,1,1
"A004379","5040","7","20160209","P",1,0,1600,800,120,920,50,1,1
"A004380","5050","7","20210214","P",1,0,450,234,32.4,248.4,52,1,1
"A004382","5187","7","20140221","P",1,0,450,198,0,252,44,1,1
"A004385","0007","3","20171113","P",5,0,3350,1675,251.25,1926.25,50,4,4
"A004386","5234","1","20190624","P",8,0,3650,2080.5,235.43,1804.93,57,3,3
"A004387","0007","3","20180112","P",1,0,250,125,18.75,143.75,50,1,1
"A004388","5793","9","20140805","P",20,0,46000,25300,3105,23805,55,1,1
"A004389","5852","6","20190504","P",1,0,3000,1500,225,1725,50,1,1
"A004390","5001","7","20210603","P",2,0,1000,510,0,490,51,2,2
"A004391","5208","2","20150420","P",1,0,3600,1764,0,1836,49,1,1
"A004392","5020","8","20171011","P",6,0,4900,2695,330.75,2535.75,55,2,2
"A004393","5210","8","20220722","P",1,0,260,143,17.55,134.55,55,1,1
"A004394","5112","1","20200422","P",1,0,400,220,27,207,55,1,1
"A004395","5113","8","20150311","P",19,0,6000,3300,405,3105,55,2,2
"A004396","5784","1","20181121","P",5,0,12000,5760,936,7176,48,1,1
"A004397","5780","1","20190518","P",9,0,1960,1038.8,138.18,1059.38,53,3,4
"A004398","5556","5","20220303","P",1,0,280,140,21,161,50,1,1
"A004399","5093","7","20210302","P",3,0,1500,825,101.25,776.25,55,1,1
"A004400","5099","7","20200408","P",9,0,10200,5100,765,5865,50,3,3
